"樟原","Zhangyuan"
"三連路","Sanlian Rd."
"杉原","Shanyuan"
"樂安2街","Le’an 2nd St."
"南海14街","Nanhai 14th St."
"大興巷","Daxing Ln."
"金鋒4街","Jinfeng 4th St."
"羅厝路","Luocuo Rd."
"新中路","Xinzhong Rd."
"站前北路","Zhanqian N. Rd."
"文西街","Wenxi St."
"玉桂嶺","Yuguiling"
"照安2路","Zhao’an 2nd Rd."
"新生南路","Xinsheng S. Rd."
"榮耀街","Rongyao St."
"瓊林街","Qionglin St."
"嘉勤北路","Jiaqin N. Rd."
"崇明7街","Chongming 7th St."
"三水段","Sec. Sanshui"
"大勇北路","Dayong N. Rd."
"東角路","Dongjiao Rd."
"親仁新村","Qinren Vil."
"南興街","Nanxing St."
"光路","Guang Rd."
"培英巷","Peiying Ln."
"夏林路","Xialin Rd."
"萬豐巷","Wanfeng Ln."
"來新路","Laixin Rd."
"三城巷","Sancheng Ln."
"建國11街","Jianguo 11th St."
"部仔坑路","Buzaikeng Rd."
"麻園東街","Mayuan E. St."
"齒草埔","Chicaopu"
"中二橫巷","Central 2nd Side Ln."
"仁光路","Renguang Rd."
"民光","Minguang"
"名山3街","Mingshan 3rd St."
"心正路","Xinzheng Rd."
"龍6路","Long 6th Rd."
"仰德大道3段","Yangde Blvd."
"竹仁街","Zhuren St."
"西賢5街","Xixian 5th St."
"山隙路","Shanxi Rd."
"過埤仔","Guopizai"
"西","W. 3rd Ln."
"東昇5街","Dongsheng 5th St."
"五北里","Wubei Vil."
"新港東","Xingangdong"
"本工7路","Bengong 7th Rd."
"文建街","Wenjian St."
"中蔗路","Zhongzhe Rd."
"忠勇1街","Zhongyong 1st St."
"劉厝巷","Liucuo Ln."
"新港村","Xingang Vil."
"青雅路","Qingya Rd."
"樹林8街","Shulin 8th St."
"新殿巷","Xindian Ln."
"福功路","Fugong Rd."
"新庄3街","Xinzhuang 3rd St."
"成都路","Chengdu Rd."
"光遠路","Guangyuan Rd."
"玉泉街","Yuquan St."
"南科8路","Nanke 8th Rd."
"九德街","Jiude St."
"大業北路","Daye N. Rd."
"農科路","Nongke Rd."
"南北8路","Nanbei 8th Rd."
"茄苳樹下","Jiadongshuxia"
"湖內2街","Hunei 2nd St."
"中正別莊","Zhongzheng Biezhuang"
"民福路","Minfu Rd."
"養老","Yanglao"
"至誠巷","Zhicheng Ln."
"富祥路","Fuxiang Rd."
"射寮路","Sheliao Rd."
"東貫路","Dongguan Rd."
"真理街","Zhenli St."
"民和路","Minhe Rd."
"順和1街","Shunhe 1st St."
"頂寮路","Dingliao Rd."
"松勇2街","Songyong 2nd St."
"溫厝","Wencuo"
"古月東巷","Guyue E. Ln."
"城平路","Chengping Rd."
"北華街","Beihua St."
"昌富街","Changfu St."
"平和東街","Pinghe E. St."
"樹林","Shulin"
"大進6路","Dajin 6th Rd."
"光華街","Guanghua St."
"雞籠巷","Jilong Ln."
"祥興街","Xiangxing St."
"大橋南路","Daqiao S. Rd."
"北嶺5路","Beiling 5th Rd."
"美奐社區","Meihuan Community"
"義興路","Yixing Rd."
"恆吉路","Hengji Rd."
"高坪22路","Gaoping 22nd Rd."
"鳳北路","Fengbei Rd."
"大仁北路","Daren N. Rd."
"牛埔東路","Niupu E. Rd."
"橫龍山","Henglongshan"
"華南","Huanan"
"歸田","Guitian"
"天水西2街","Tianshui  W. 2nd St."
"商港3路","Shanggang 3rd Rd."
"寶山18街","Baoshan 18th St."
"玉清路","Yuqing Rd."
"卯舍","Maoshe"
"汾陽","Fenyang 3rd Ln."
"市興","Shixing"
"萊竿寮","Laiganliao"
"一中街","Yizhong St."
"大隱7路","Dayin 7th Rd."
"大旱坑","Dahankeng"
"建國6路","Jianguo 6th Rd."
"內文","Neiwen 2nd Ln."
"朴子埔","Puzipu"
"福頭崙巷","Futoulun Ln."
"竹圍4路","Zhuwei 4th Rd."
"成功5街","Chenggong 5th St."
"香揚巷","S. Sec."
"海豐子","Haifengzi"
"民生北路","Minsheng N. Rd."
"亞洲路","Yazhou Rd."
"五甲1路","Wujia 1st Rd."
"康定街","Kangding St."
"僑中2街","Qiaozhong 2nd St."
"進化北路","Jinhua N. Rd."
"崇德9路","Chongde 9th Rd."
"僑榮路","Qiaorong Rd."
"博愛1路","Bo’ai 1st Rd."
"海濱","Haibin"
"貿1路","Mao 1st Rd."
"武智街","Wuzhi St."
"朝馬1街","Chaoma 1st St."
"大鶯路","Daying Rd."
"月眉街","Yuemei St."
"友和路","Youhe Rd."
"靖康","Jingkang"
"頂柴路","Dingchai Rd."
"龍鳳3街","Longfeng 3rd St."
"青峰街","Qingfeng St."
"東泰5街","Dongtai 5th St."
"茂東路","Maodong Rd."
"昌榮街","Changrong St."
"文教巷","Wenjiao Ln."
"仁中街","Renzhong St."
"鄉友街","Xiangyou St."
"天母東路","Tianmu E. Rd."
"寧靜街","Ningjing St."
"志航巷","Zhihang Ln."
"埔羌坑","Puqiangkeng"
"頂湖巷","Dinghu Ln."
"達生路","Dasheng Rd."
"永南4街","Yongnan 4th St."
"農家路","Nongjia Rd."
"神農路","Shennong Rd."
"城南路","Chengnan Rd."
"埔鹿街","Pulu St."
"牛挑灣","Niutiaowan"
"金城2路","Jincheng 2nd Rd."
"大勇市","Dayong Market"
"武罕3路","Wuhan 3rd Rd."
"豐樂5街","Fengle 5th St."
"武昌","Wuchang"
"永平路","Yongping Rd."
"龍門2街","Longmen 2nd St."
"光明6街","Guangming 6th St."
"馬頭山","Matoushan"
"工學1街","Gongxue 1st St."
"僑真街","Qiaozhen St."
"本街","Ben St."
"海成2街","Haicheng 2nd St."
"國強街","Guoqiang St."
"柴橋坑","Chaiqiaokeng"
"福5街","Fu 5th St."
"後豐港","Houfenggang"
"前街","Qian St."
"安順東3街","Anshun E. 3rd St."
"正新北路","Zhengxin N. Rd."
"育平4街","Yuping 4th St."
"福東1路","Fudong 1st Rd."
"市民大道7段","Civic Blvd."
"如意街","Ruyi St."
"炮子崙","Paozilun"
"瑞安路","Rui’an Rd."
"錦草路","Jincao Rd."
"新興海埔地8路","Xinxinghaipudi 8th Rd."
"信義巷","Xinyi Ln."
"國富25街","Guofu 25th St."
"聖天路","Shengtian Rd."
"後湖內","Houhunei"
"歸智巷","Guizhi Ln."
"保長路","Baochang Rd."
"水信路","Shuixin Rd."
"客厝路","Kecuo Rd."
"仁厚街","Renhou St."
"南光街","Nanguang St."
"忠明4街","Zhongming 4th St."
"苓安路","Ling’an Rd."
"久安路","Jiu’an Rd."
"白雲6路","Baiyun 6th Rd."
"小港","Xiaogang"
"南寮橫巷","Nanliao Side Ln."
"溝子墘","Gouziqian"
"工維街","Gongwei St."
"平2街","Ping 2nd St."
"石橋路","Shiqiao Rd."
"司馬限","Simaxian"
"翡翠路","Feicui Rd."
"大義8路","Dayi 8th Rd."
"中源巷","Zhongyuan Ln."
"南海4街","Nanhai 4th St."
"成德新村","Chengde Vil."
"大新5街","Daxin 5th St."
"梅岡巷","Meigang Ln."
"坪頂巷","Pingding Ln."
"山明街","Shanming St."
"北勢洲","Beishizhou"
"舊社","Jiushe"
"福吉街","Fuji St."
"衛國街","Weiguo St."
"大光1街","Daguang 1st St."
"大孔尾","Dakongwei"
"棟仔嶺","Dongzailing"
"新安7街","Xin’an 7th St."
"馬路","Malu Ln."
"後坑巷","Houkeng Ln."
"濟南路","Jinan Rd."
"龜壽谷街","Guishougu St."
"土溝","Tugou"
"興糖路","Xingtang Rd."
"館安1路","Guan’an 1st Rd."
"北勢5街","Beishi 5th St."
"建國6街","Jianguo 6th St."
"崁頭子","Kantouzi"
"仁雅巷","Renya Ln."
"鯉行路","Lixing Rd."
"鹿西路","Luxi Rd."
"下興南","Xiaxingnan"
"南通路","Nantong Rd."
"自治巷","Zizhi Ln."
"杭州1街","Hangzhou 1st St."
"崩山坑","Bengshankeng"
"崇德9街","Chongde 9th St."
"大興6街","Daxing 6th St."
"康定路","Kangding Rd."
"南勢7街","Nanshi 7th St."
"金專2路","Jinzhuan 2nd Rd."
"庄北巷","Zhuang N. Ln."
"宮後巷","Gonghou Ln."
"科虎3路","Kehu 3rd Rd."
"民生北街","Minsheng N. St."
"亞洲街","Yazhou St."
"幸福15街","Xingfu 15th St."
"智海1街","Zhihai 1st St."
"科4街","Ke 4th St."
"義興街","Yixing St."
"鳳華路","Fenghua Rd."
"國揚3街","Guoyang 3rd St."
"南順2街","Nanshun 2nd St."
"德善1街","Deshan 1st St."
"仁利街","Renli St."
"白玉北路","Baiyu N. Rd."
"五里","Wuli Rd."
"百善街","Baishan St."
"光華路","Guanghua Rd."
"臺塑工業園區","Taisu Industrial Park"
"北保1街","Beibao 1st St."
"古井街","Gujing St."
"文山中","Wenshan Central 2nd Ln."
"玉清街","Yuqing St."
"集和街","Jihe St."
"中美5街","Zhongmei 5th St."
"麻園東3街","Mayuan E. 3rd St."
"光輝3街","Guanghui 3rd St."
"高工1街","Gaogong 1st St."
"文明3街","Wenming 3rd St."
"博愛市","Bo’ai Market"
"富宏街","Fuhong St."
"青砂街","Qingsha St."
"角仔寮","Jiaozailiao"
"孝義路","Xiaoyi Rd."
"富祥街","Fuxiang St."
"干城二村","Gancheng 2nd Vil."
"華園","Huayuan"
"永田路","Yongtian Rd."
"永新4街","Yongxin 4th St."
"長億6街","Changyi 6th St."
"王子2街","Wangzi 2nd St."
"過江路","Guojiang Rd."
"南北8街","Nanbei 8th St."
"警光新村","Jingguang Vil."
"平和東路","Pinghe E. Rd."
"路科7路","Luke 7th Rd."
"神林路","Shenlin Rd."
"佳安西路","Jia’an W. Rd."
"後坑子","Houkengzi"
"北華路","Beihua Rd."
"中順街","Zhongshun St."
"生毛樹","Shengmaoshu"
"民和街","Minhe St."
"明德北路","Mingde N. Rd."
"民安","Min’an 2nd Ln."
"青昇路","Qingsheng Rd."
"瑞順街","Ruishun St."
"下寮路","Xialiao Rd."
"新庄3路","Xinzhuang 3rd Rd."
"長安7街","Chang’an 7th St."
"新建南路","Xinjian S. Rd."
"福慶","Fuqing"
"中正巷","Zhongzheng Ln."
"武強街","Wuqiang St."
"八仙3路","Baxian 3rd Rd."
"環龍","Huanlong 5th Ln."
"沙港","Shagang"
"拖沙尾","Tuoshawei"
"重光街","Chongguang St."
"頂寮2街","Dingliao 2nd St."
"建豐巷","Jianfeng Ln."
"內定二十街","Neiding 20th St."
"玉泉路","Yuquan Rd."
"陽明3街","Yangming 3rd St."
"國光北路","Guoguang N. Rd."
"荳蘭5街","Doulan 5th St."
"下洲子","Xiazhouzi"
"永樂5街","Yongle 5th St."
"成都街","Chengdu St."
"光福5街","Guangfu 5th St."
"榮安7街","Rong’an 7th St."
"裕信2街","Yuxin 2nd St."
"平2路","Ping 2nd Rd."
"豊漁路","Liyu Rd."
"流麻溝","Liumagou"
"西勢尾街","Xishiwei St."
"大同東巷","Datong E. Ln."
"進學巷","Jinxue Ln."
"幼獅路","Youshi Rd."
"都會園路","Duhuiyuan Rd."
"宮后里","Gonghou Vil."
"濟南街","Jinan St."
"檳榔路","Binlang Rd."
"永誠街","Yongcheng St."
"桃德路","Taode Rd."
"前水頭","Qianshuitou"
"下埔尾","Xiapuwei"
"高工路","Gaogong Rd."
"山中街","Shanzhong St."
"杏林1路","Xinglin 1st Rd."
"山明路","Shanming Rd."
"嘉女新村","Jianu Vil."
"大佃路","Dadian Rd."
"黎明中街","Liming Central St."
"林尾1街","Linwei 1st St."
"華園莊","Huayuanzhuang"
"二六七東巷","Erliuqi E. Ln."
"東海6街","Donghai 6th St."
"林山巷","Linshan Ln."
"水澗橋","Shuijianqiao"
"載熙路","Zaixi Rd."
"瑞安街","Rui’an St."
"德民路","Demin Rd."
"三湖道","Sanhudao"
"知行路","Zhixing Rd."
"南光路","Nanguang Rd."
"志明路","Zhiming Rd."
"北橫12路","Beiheng 12th Rd."
"東蘭路","Donglan Rd."
"工二工業區","Gong’er Industrial Park"
"鎮江街","Zhenjiang St."
"旌義街","Jingyi St."
"中門路","Zhongmen Rd."
"永平街","Yongping St."
"博愛巷","Bo’ai Ln."
"隘口5街","Aikou 5th St."
"斗工5路","Dougong 5th Rd."
"助人街","Zhuren St."
"匏子寮","Paoziliao"
"員大路","Yuanda Rd."
"神農街","Shennong St."
"崇善11街","Chongshan 11th St."
"凱達格蘭大道","Ketagalan Blvd."
"東興村","Dongxing Vil."
"新華巷","Xinhua Ln."
"朝陽巷","Chaoyang Ln."
"河堤南路","Heti S. Rd."
"松安街","Song’an St."
"鎮東3街","Zhendong 3rd St."
"新7街","Xin 7th St."
"苓子林","Lingzilin"
"光明6路","Guangming 6th Rd."
"樟普寮","Zhangpuliao"
"鎮寧","Zhenning"
"徐州5街","Xuzhou 5th St."
"鳳吉3街","Fengji 3rd St."
"月眉路","Yuemei Rd."
"誠東街","Chengdong St."
"下埔巷","Xiapu Ln."
"精忠1街","Jingzhong 1st St."
"崙頂巷","Lunding Ln."
"寶山二十街","Baoshan 20th St."
"龍頭路","Longtou Rd."
"竹門巷","Zhumen Ln."
"村瓦厝仔","Wacuozai"
"義崎","Yiqi"
"崙北路","Lunbei Rd."
"博愛1街","Bo’ai 1st St."
"雪峰1路","Xuefeng 1st Rd."
"田底巷","Tiandi Ln."
"芳園街","Fangyuan St."
"棉花嶼","Mianhuayu"
"赤崁西路","Chikan W. Rd."
"經2路","Jing 2nd Rd."
"正強街","Zhengqiang St."
"清水村","Qingshui Vil."
"彰濱東7路","Zhangbin E. 7th Rd."
"昌榮路","Changrong Rd."
"楓樹巷","Fengshu Ln."
"青峰路","Qingfeng Rd."
"高士路","Gaoshi Rd."
"大政5街","Dazheng 5th St."
"雙園街","Shuangyuan St."
"安豐1街","Anfeng 1st St."
"鹿陶洋","Lutaoyang"
"仁協巷","Renxie Ln."
"蘭陽","Lanyang 3rd Ln."
"彰濱西1路","Zhangbin W. 1st Rd."
"蘭州南街","Lanzhou S. St."
"秀山3路","Xiushan 3rd Rd."
"頂田寮","Dingtianliao"
"北新庄","Beixinzhuang"
"五柳巷","Wuliu Ln."
"大墩17街","Dadun 17th St."
"頭埤巷","Toupi Ln."
"介壽南路","Jieshou S. Rd."
"慶雲街","Qingyun St."
"海德6路","Haide 6th Rd."
"敬3街","Jing 3rd St."
"華夏巷","Huaxia Ln."
"珍東巷","Zhendong Ln."
"重新路","Chongxin Rd."
"高楠6街","Gaonan 6th St."
"信德巷","Xinde Ln."
"月眉山下","Yuemeishanxia"
"仁義巷","Renyi Ln."
"復華6街","Fuhua 6th St."
"豐山村","Fengshan Vil."
"西新巷","Xixin Ln."
"義大8街","Yida 8th St."
"石門","Shimen"
"德壽街","Deshou St."
"大石巷","Dashi Ln."
"科大北路","Keda N. Rd."
"興大南街","Xingda S. St."
"太平街","Taiping St."
"頂田","Dingtian"
"楓溝街","Fenggou St."
"觀高山","Guangaoshan"
"金豐街","Jinfeng St."
"幸福21街","Xingfu 21st St."
"糞箕科","Fenjike"
"保仁3街","Baoren 3rd St."
"佳安中街","Jia’an Central St."
"工業環路","Gongyehuan Rd."
"麗園1街","Liyuan 1st St."
"溪清路","Xiqing Rd."
"樹德","Shude 4th Ln."
"暖中路","Nuanzhong Rd."
"漁隆路","Yulong Rd."
"國鼎1街","Guoding 1st St."
"漁南街","Yunan St."
"存真路","Cunzhen Rd."
"草崙路","Caolun Rd."
"互助社區","Huzhu Community"
"城中路","Chengzhong Rd."
"訊塘埔","Xuntangpu"
"西樂巷","Xile Ln."
"自由2街","Ziyou 2nd St."
"頂三庄路","Dingsanzhuang Rd."
"內定15街","Neiding 15th St."
"遼陽2街","Liaoyang 2nd St."
"寶新3街","Baoxin 3rd St."
"高坪3街","Gaoping 3rd St."
"大明3路","Daming 3rd Rd."
"頂后垵","Dinghou’an"
"正言街","Zhengyan St."
"福和街","Fuhe St."
"瑪僯路","Malin Rd."
"五權西路","Wuquan W. Rd."
"坪頂東","Pingdingdong"
"農墾1街","Nongken 1st St."
"柏川2路","Bochuan 2nd Rd."
"路合作新村","Hezuo Vil."
"大豐東1街","Dafeng E. 1st St."
"三六二北巷","Sanliu’er N. Ln."
"翠明路","Cuiming Rd."
"朴子2路","Puzi 2nd Rd."
"麻佳路","Majia Rd."
"和南巷","Henan Ln."
"中康2街","Zhongkang 2nd St."
"翠峰路","Cuifeng Rd."
"北勢坑","Beishikeng"
"豐美街","Fengmei St."
"大貴路","Dagui Rd."
"陳平1街","Chenping 1st St."
"建南街","Jiannan St."
"江西厝巷","Jiangxicuo Ln."
"金滿","Jinman"
"黃埔三村","Huangpu 3rd Vil."
"洽興路","Qiaxing Rd."
"永嘉巷","Yongjia Ln."
"福佑路","Fuyou Rd."
"大業街","Daye St."
"光陽路","Guangyang Rd."
"御史路","Yushi Rd."
"有恆巷","Youheng Ln."
"廣安2街","Guang’an 2nd St."
"港2街","Gang 2nd St."
"大學22街","Daxue 22nd St."
"南埔11街","Nanpu 11th St."
"民有","Minyou"
"官田","Guantian"
"松信路","Songxin Rd."
"永佳街","Yongjia St."
"大仁街","Daren St."
"崇武街","Chongwu St."
"淮子埔","Huaizipu"
"大學五十街","Daxue 50th St."
"後昌新路","Houchangxin Rd."
"大灣5街","Dawan 5th St."
"渡船頭街","Duchuantou St."
"新仁5街","Xinren 5th St."
"新港2路","Xingang 2nd Rd."
"施厝巷","Shicuo Ln."
"信義3街","Xinyi 3rd St."
"吉貝耍","Jibeishua"
"灣頭南巷","Wantou S. Ln."
"內館路","Neiguan Rd."
"伊達邵街","Yidashao St."
"明正巷","Mingzheng Ln."
"北通路","Beitong Rd."
"市政北3路","Shizheng N. 3rd Rd."
"恆城街","Hengcheng St."
"國富5街","Guofu 5th St."
"正興路","Zhengxing Rd."
"後庄巷","Houzhuang Ln."
"堀尺嶺","Juechiling"
"華光街","Huaguang St."
"衙慶3街","Yaqing 3rd St."
"彰馬街","Zhangma St."
"安住巷","Anzhu Ln."
"東明3街","Dongming 3rd St."
"嘉展路","Jiazhan Rd."
"福德居","Fudeju"
"澄仁路","Chengren Rd."
"嘉豐7街","Jiafeng 7th St."
"湯圍街","Tangwei St."
"砂坑","Shakeng"
"聯怡路","Lianyi Rd."
"砂坪","Shaping"
"富山4街","Fushan 4th St."
"尪子崙坑","Wangzilunkeng"
"水碓","Shuidui"
"南斗路","Nandou Rd."
"北新巷","Beixin Ln."
"民享7街","Minxiang 7th St."
"二結路","Erjie Rd."
"牯嶺街","Guling St."
"義美路","Yimei Rd."
"明修巷","Mingxiu Ln."
"信愛街","Xin’ai St."
"民族","Minzu 2nd Ln."
"華城1路","Huacheng 1st Rd."
"成興路","Chengxing Rd."
"建國四村","Jianguo 4th Vil."
"北寮街","Beiliao St."
"東湖街","Donghu St."
"港嘴2路","Gangzui 2nd Rd."
"漳福路","Zhangfu Rd."
"舊溪路","Jiuxi Rd."
"福田5街","Futian 5th St."
"福德巷","Fude Ln."
"西平南巷","Xiping S. Ln."
"精誠二十街","Jingcheng 20th St."
"東江新屯","Dongjiangxintun"
"歸仁18路","Guiren 18th Rd."
"興龍","Xinglong 8th Ln."
"平川街","Pingchuan St."
"龍形1街","Longxing 1st St."
"頭寮","Touliao"
"福連街","Fulian St."
"午欄湖","Wulanhu"
"糞箕窩","Fenjiwo"
"五哩巷","Wuli Ln."
"上前巷","Shangqian Ln."
"鎮海路","Zhenhai Rd."
"內湖巷","Neihu Ln."
"西新庄","Xixinzhuang"
"居南屯","Junantun"
"光華3路","Guanghua 3rd Rd."
"同仁","Tongren"
"宏昌新村","Hongchang Vil."
"富田1街","Futian 1st St."
"西門巷","Ximen Ln."
"建南路","Jiannan Rd."
"頭屋","Touwu"
"水美","Shuimei"
"柴梳崙","Chaishulun"
"牛埔仔","Niupuzai"
"立新街","Lixin St."
"華2街","Hua 2nd St."
"豐登街","Fengdeng St."
"立德2路","Lide 2nd Rd."
"神農西路","Shennong W. Rd."
"陸豐路","Lufeng Rd."
"友諒街","Youliang St."
"羊城1街","Yangcheng 1st St."
"建平十街","Jianping 10th St."
"施厝寮","Shicuoliao"
"沙埔","Shapu"
"山大2路","Shanda 2nd Rd."
"大業路","Daye Rd."
"光陽街","Guangyang St."
"鄉界路","Xiangjie Rd."
"新工3路","Xingong 3rd Rd."
"下內壢","Xianeili"
"景德街","Jingde St."
"大全街","Daquan St."
"福和路","Fuhe Rd."
"四分子路","Sifenzi Rd."
"大明3街","Daming 3rd St."
"正言路","Zhengyan Rd."
"寺巷","Si Ln."
"介林8街","Jielin 8th St."
"宜科路","Yike Rd."
"公勤2街","Gongqin 2nd St."
"陜西7街","Shanxi 7th St."
"自由2路","Ziyou 2nd Rd."
"府前2街","Fuqian 2nd St."
"太和3街","Taihe 3rd St."
"民貴1街","Mingui 1st St."
"知足街","Zhizu St."
"大仁十街","Daren 10th St."
"美術南5街","Meishu S. 5th St."
"沙坑","Shakeng"
"出水街","Chushui St."
"慶生路","Qingsheng Rd."
"文工十街","Wengong 10th St."
"富裕16街","Fuyu 16th St."
"永和莊","Yonghezhuang"
"啦里","Laliba"
"深坑1街","Shenkeng 1st St."
"花商新村","Huashang Vil."
"下四湖","Xiasihu"
"三吉巷","Sanji Ln."
"芎蕉路","Qiongjiao Rd."
"美工1街","Meigong 1st St."
"太平路","Taiping Rd."
"金樽","Jinzun"
"荖寮街","Laoliao St."
"佳昌路","Jiachang Rd."
"萬得路","Wande Rd."
"橫屏巷","Hengping Ln."
"康樂1街","Kangle 1st St."
"迎薰南路","Yingxun S. Rd."
"興埔街","Xingpu St."
"西勢十巷","Xishi 10th Ln."
"義林","Yilin"
"文昌前街","Wenchangqian St."
"清水巷","Qingshui Ln."
"黎和巷","Lihe Ln."
"鳳楠路","Fengnan Rd."
"協和東路","Xiehe E. Rd."
"文直路","Wenzhi Rd."
"源潭路","Yuantan Rd."
"工9路","Gong 9th Rd."
"土庫子","Tukuzi"
"豐工路","Fenggong Rd."
"德威街","Dewei St."
"公正2街","Gongzheng 2nd St."
"楓樹林","Fengshulin"
"通海巷","Tonghai Ln."
"全家福","Quanjiafu"
"雙園路","Shuangyuan Rd."
"博愛村","Bo’ai Vil."
"火燒樟","Huoshaozhang"
"東興巷","Dongxing Ln."
"堯舜街","Yaoshun St."
"介壽5街","Jieshou 5th St."
"宮西路","Gongxi Rd."
"永隆巷","Yonglong Ln."
"樂生巷","Lesheng Ln."
"育英巷","Yuying Ln."
"中興11路","Zhongxing 11th Rd."
"元市","Yuanshi St."
"慈雲巷","Ciyun Ln."
"東興市","Dongxing Market"
"英士1街","Yingshi 1st St."
"湳窟","Nanku"
"上明3街","Shangming 3rd St."
"南埔7街","Nanpu 7th St."
"上華段","Shanghua Sec."
"土庫4路","Tuku 4th Rd."
"福豐南街","Fufeng S. St."
"大富5街","Dafu 5th St."
"中5路","Central 5th Rd."
"桂田街","Guitian St."
"河華路","Hehua Rd."
"東1段","Dong Sec. 1"
"頂田巷","Dingtian Ln."
"南功街","Nangong St."
"愛國巷","Aiguo Ln."
"光華3街","Guanghua 3rd St."
"山東1路","Shandong 1st Rd."
"雲林路","Yunlin Rd."
"科北2路","Kebei 2nd Rd."
"備前街","Beiqian St."
"勵志二村","Lizhi 2nd Vil."
"崇倫街","Chonglun St."
"石鎮","Shizhen"
"武道能敢","Wudaonenggan"
"火燒坪","Huoshaoping"
"立功路","Ligong Rd."
"華南2路","Huanan 2nd Rd."
"精誠南路","Jingcheng S. Rd."
"東湖路","Donghu Rd."
"桃園巷","Taoyuan Ln."
"辛亥路","Xinhai Rd."
"中埔2街","Zhongpu 2nd St."
"瑞城1街","Ruicheng 1st St."
"華城1街","Huacheng 1st St."
"普濟街","Puji St."
"瀰力路","Mili Rd."
"新站1街","Xinzhan 1st St."
"虎尾寮","Huweiliao"
"李茂岸","Limao’an"
"梨崙巷","Lilun Ln."
"彰馬路","Zhangma Rd."
"縣府1街","Xianfu 1st St."
"華光路","Huaguang Rd."
"國富12街","Guofu 12th St."
"霞雲","Xiayun"
"屋拉力1街","Wulali 1st St."
"保長湖","Baochanghu"
"正興街","Zhengxing St."
"明圓街","Mingyuan St."
"後勁南路","Houjing S. Rd."
"南華7街","Nanhua 7th St."
"惠文5街","Huiwen 5th St."
"福山國小","Fushan Primary School"
"梅山西街","Meishan W. St."
"松義街","Songyi St."
"武德新莊自強路","Wudexinzhuangziqiang Rd."
"建智街","Jianzhi St."
"寶山2街","Baoshan 2nd St."
"德芳南3街","Defang S. 3rd St."
"新興海埔地5路","Xinxinghaipudi 5th Rd."
"元泰街","Yuantai St."
"福星北2街","Fuxing N. 2nd St."
"月眉園路","Yuemeiyuan Rd."
"溫泉","Wenquan"
"慈雲山","Ciyunshan"
"武功街","Wugong St."
"香山西路","Xiangshan W. Rd."
"頂田尾","Dingtianwei"
"大仁路","Daren Rd."
"濱海2路","Binhai 2nd Rd."
"崇武路","Chongwu Rd."
"信義新村","Xinyi Vil."
"丘厝","Qiucuo"
"麻園3路","Mayuan 3rd Rd."
"忠水街","Zhongshui St."
"信義3路","Xinyi 3rd Rd."
"齡恩路","Ling’en Rd."
"西門市","Ximen Market"
"忠權莊","Zhongquanzhuang"
"特","Te 1st Ln."
"新港2街","Xingang 2nd St."
"磯崎","Jiqi"
"三層巷","Sanceng Ln."
"紫雲街","Ziyun St."
"隆斌街","Longbin St."
"漯仔","Tazai"
"文化6街","Wenhua 6th St."
"鐵板村","Tieban Vil."
"興化巷","Xinghua Ln."
"太子3街","Taizi 3rd St."
"福生3街","Fusheng 3rd St."
"民亨路","Minheng Rd."
"新義街","Xinyi St."
"福安7街","Fu’an 7th St."
"龍江路","Longjiang Rd."
"漳興巷","Zhangxing Ln."
"眾和巷","Zhonghe Ln."
"瑞源2街","Ruiyuan 2nd St."
"勝安4街","Sheng’an 4th St."
"普安路","Pu’an Rd."
"高發3路","Gaofa 3rd Rd."
"金萱路","Jinxuan Rd."
"東英13街","Dongying 13th St."
"行義街","Xingyi St."
"臨港路","Lingang Rd."
"劍南路","Jiannan Rd."
"五工3路","Wugong 3rd Rd."
"區運路","Quyun Rd."
"林榮街","Linrong St."
"文山5街","Wenshan 5th St."
"衡陽4街","Hengyang 4th St."
"幸美1街","Xingmei 1st St."
"居易","Juyi 3rd Aly."
"永美街","Yongmei St."
"存德街","Cunde St."
"康榔1街","Kanglang 1st St."
"仁賢街","Renxian St."
"永福巷","Yongfu Ln."
"維仁街","Weiren St."
"鼎盛街","Dingsheng St."
"廟下","Miaoxia"
"港興街","Gangxing St."
"民孝街","Minxiao St."
"親民路","Qinmin Rd."
"義橋","Yiqiao"
"崇德34街","Chongde 34th St."
"成田巷","Chengtian Ln."
"保安路","Bao’an Rd."
"本洲1街","Benzhou 1st St."
"鼓山","Gushan"
"大信路","Daxin Rd."
"大學1街","Daxue 1st St."
"湖北路","Hubei Rd."
"福興8街","Fuxing 8th St."
"工專1街","Gongzhuan 1st St."
"隆興路","Longxing Rd."
"義林9街","Yilin 9th St."
"自強西路","Ziqiang W. Rd."
"金星","Jinxing 2nd Ln."
"和洋巷","Heyang Ln."
"三義路","Sanyi Rd."
"介壽街","Jieshou St."
"大忠1路","Dazhong 1st Rd."
"力行大樓","Lixing Bldg."
"新勝路","Xinsheng Rd."
"臺貿1街","Taimao 1st St."
"進福路","Jinfu Rd."
"林森巷","Linsen Ln."
"民享新村","Minxiang Vil."
"水祭子","Shuijizi"
"勝利東路","Shengli E. Rd."
"國興巷","Guoxing Ln."
"中華橫路","Zhonghuaheng Rd."
"鎮政1街","Zhenzheng 1st St."
"東成街","Dongcheng St."
"金暖","Jinnuan"
"大埤2路","Dapi 2nd Rd."
"嘉新2路","Jiaxin 2nd Rd."
"山通路","Shantong Rd."
"清平巷","Qingping Ln."
"定福","Dingfu"
"文府路","Wenfu Rd."
"鳳東路","Fengdong Rd."
"寧夏東1街","Ningxia E. 1st St."
